CYP46A1	CYP4F8	CYP2U1	CYP2R1	CYP4F22	CYP1A1	CYP1A2	CYP1B1	CYP2A6	CYP2A7	CYP3A7	CYP2A13	CYP2B6	CYP2B7P1	CYP2C19	CYP2C8	CYP2C9	CYP2C18	CYP2E1	CYP2J2	CYP3A4	CYP3A5	CYP4A11	CYP4B1	CYP7A1	CYP8B1	CYP11A1	CYP11B1	CYP11B2	CYP17A1	CYP19A1	CYP21A2	CYP24A1	CYP26A1	CYP27A1	CYP27B1	CYP51A1	CYP4Z2P	CYP4Z1	CYP4X1	CYP1B1-AS1	CYP4V2	CYP2S1	CYP27C1	CYP39A1	CYP2W1	CYP26B1	CYP20A1	CYP4F11	CYP3A43	CYP4F12	CYP4F2	CYP7B1
WM2664_SKIN	3.873089	3.340041	7.819315	8.035254	3.535843	6.124543	4.678891	4.012473	5.073347	3.9908	3.86294	5.950638	4.180429	5.276138	3.965759	3.425867	4.632693	3.911964	4.006063	5.867478	4.722653	4.233051	4.196769	3.627839	3.818044	4.005418	3.590652	3.426864	4.483527	3.680586	4.244262	4.467108	3.596339	6.695664	10.12122	6.030916	9.657394	3.828256	3.743429	3.283975	3.577615	7.481052	3.817859	4.727885	4.059125	3.904213	4.338248	8.076809	3.480094	3.901514	4.291028	3.847636	6.05706
KMRC1_KIDNEY	3.783962	3.810437	5.425403	8.463273	3.721548	4.762809	5.180796	11.46488	5.12478	3.680855	4.008342	5.88496	4.376497	5.430376	4.719721	3.561235	4.396064	3.962541	4.052802	4.499011	4.918479	7.097398	4.395022	3.959372	3.717502	3.845348	4.222366	3.587658	5.092995	4.006089	4.289822	4.848997	3.473584	4.605146	5.85439	5.003541	8.287795	4.353605	3.873793	3.566109	3.395729	7.350934	5.363496	3.907411	4.169016	4.167747	4.449017	7.536394	4.754487	4.542115	4.613753	4.32855	5.531282
KM12_LARGE_INTESTINE	4.339413	3.91294	4.811033	10.14765	3.793137	5.365753	5.414262	6.830232	5.491889	3.449759	4.328083	6.099921	5.284359	6.573247	5.085687	3.412844	5.113442	5.464012	6.143949	6.784149	5.376395	5.666724	4.883102	4.262694	4.497448	4.301213	3.842336	3.767525	4.575779	3.719686	4.392898	4.696876	3.588525	4.692245	5.979225	6.548434	10.01702	3.315803	5.323478	3.71371	3.950961	7.164584	8.435903	4.22204	5.151437	3.725689	4.163686	7.950895	3.435963	4.142173	4.910268	4.082299	3.938634
COLO849_SKIN	4.177344	3.649448	7.537794	7.681081	3.83314	7.574892	4.978672	4.00594	5.50273	3.669215	3.696718	5.812997	4.065711	5.29572	4.970514	3.555102	4.681598	3.972977	4.025328	6.041164	5.06249	4.202267	4.16568	3.827084	3.530565	3.931571	3.857226	3.497769	4.601228	4.206216	3.985198	4.809239	4.143541	4.526542	8.828973	5.315919	9.913358	3.704609	3.361043	3.348362	3.615107	6.325499	3.9737	3.88358	4.025434	3.958865	4.475453	7.286475	3.735854	3.885616	4.322894	4.215022	4.027215
T84_LARGE_INTESTINE	4.191023	3.720796	5.526673	9.025566	4.106449	9.224566	5.427559	5.807643	5.737765	3.829219	3.743672	5.923195	6.299859	5.844692	4.700617	3.666942	4.675525	4.359306	4.460228	8.695758	5.267337	7.831579	3.96391	3.851791	3.282447	4.212144	3.901079	3.563831	5.30632	3.961318	4.316592	5.416882	3.232669	4.416886	6.054638	5.825054	10.53788	3.938142	3.482939	3.329817	3.489522	4.958007	8.930198	3.748133	5.090422	3.775235	3.963597	7.947509	4.527299	3.884445	4.926619	4.528695	3.516401
CALU1_LUNG	3.979742	3.559149	7.812765	7.450248	3.790136	6.073017	5.320341	10.48136	5.844678	4.067487	3.649671	6.170576	4.179228	5.367536	4.876223	3.709306	4.531032	3.800415	3.937861	4.918766	4.732305	4.397611	4.382398	3.557945	3.515478	4.04703	3.759033	3.789504	4.560621	3.899162	4.049921	4.944864	10.72315	4.504097	6.30654	5.396415	8.684476	3.784443	3.718402	3.491767	3.540794	5.966744	6.289381	4.188208	5.061671	3.985677	5.140025	8.423081	3.745509	3.973181	4.382398	4.192302	3.553102
LOXIMVI_SKIN	4.298098	3.504204	5.174454	8.278104	3.653189	4.87117	5.071304	4.14725	5.448333	3.420891	3.924498	5.973225	4.251128	5.140341	4.907878	3.530995	4.763282	3.982258	3.977242	3.661288	4.934649	4.305904	4.415495	3.687229	3.696888	3.900039	3.742228	3.658238	4.776248	4.229093	4.450171	4.362884	6.036063	3.988946	5.696998	6.401961	9.405654	4.039868	3.647887	3.387454	3.50964	4.519785	4.200762	4.141842	4.096404	3.929518	4.286323	8.399579	3.871522	3.870351	4.354716	4.238359	3.6558
NCIH2170_LUNG	3.999777	3.945406	6.270275	7.914785	3.735693	8.139549	5.287119	12.37229	5.652157	3.835718	3.857003	6.203869	4.312826	5.675755	4.499287	5.087273	4.869487	4.444008	6.672056	7.116282	5.03863	4.656005	3.916323	3.986413	3.643023	3.925967	3.738245	3.809701	5.454964	4.261871	4.133664	5.709519	3.421565	4.667761	6.238226	5.331916	9.840356	3.524115	3.45805	3.391763	3.892729	7.425968	5.552002	4.006666	6.624257	3.994106	4.276735	7.730422	8.378366	4.050318	5.868268	5.388364	4.500424
SQ1_LUNG	4.110179	3.935488	4.866482	5.200195	3.952368	7.220066	5.212272	4.713195	5.888864	3.833431	3.934613	6.631911	4.65432	5.474073	4.490065	4.059938	4.80211	4.559493	5.897607	4.427769	5.25366	4.849488	4.585342	3.760672	3.674635	4.164761	3.889746	3.699693	5.619019	4.361077	4.120643	5.154649	3.721951	4.506148	5.568807	6.276883	8.168327	3.87732	3.727028	3.806192	3.336107	5.958369	4.551916	3.7115	4.092499	4.024304	4.329879	7.238278	3.976978	4.130428	5.05234	4.671596	3.892333
AN3CA_ENDOMETRIUM	4.411201	3.784237	6.905398	7.13139	3.720432	5.085599	5.342351	4.201582	5.379047	3.75587	3.716963	6.034495	4.669642	5.835295	4.963783	3.654067	5.01565	4.210089	4.248142	4.13169	5.151968	4.25001	4.604606	3.870867	3.809564	4.440349	3.887966	3.756652	4.879926	4.333205	4.524065	5.203216	3.168215	5.121895	5.684041	5.941686	10.2221	4.013908	3.909367	3.403671	3.77505	4.514214	3.964821	3.677282	6.156504	3.711875	4.305148	7.439938	3.749634	4.134058	4.501487	4.337153	3.652672
NCIH2444_LUNG	4.364027	3.859563	6.372329	7.603339	3.894354	7.362261	5.42315	10.50937	5.385263	3.760452	3.876345	5.826525	4.513778	5.873994	4.207543	3.331371	4.893313	3.956633	5.135212	5.757995	5.010787	4.659868	4.073591	3.92129	3.379907	3.87221	4.14869	3.5274	4.811634	4.426221	4.565465	4.822891	9.111936	6.654952	5.998304	5.525772	10.07858	3.672793	3.64507	3.552882	3.867114	4.627503	7.123428	4.456327	5.133724	4.020988	4.711229	5.680833	3.801486	3.920017	4.534294	4.463912	3.517511
UACC257_SKIN	4.036728	3.678412	7.652494	7.744213	3.648869	4.916224	4.988274	4.200927	5.608271	4.097138	3.6896	5.883033	4.514435	5.463036	4.864034	3.467269	4.827591	4.245487	3.866135	6.030336	5.153808	4.722147	4.413362	3.821907	3.632702	4.129606	4.051332	4.071799	4.728595	4.36996	4.220581	5.242092	3.787577	4.49836	9.401843	5.624164	9.903183	4.112218	3.912686	3.365374	3.573391	6.52243	4.027363	3.73755	4.454961	3.715006	4.295328	7.781457	3.88246	4.05367	4.201393	4.358395	7.209938
KYSE510_OESOPHAGUS	3.928487	3.730178	5.482194	4.040391	3.814598	5.756653	5.308782	9.859267	5.619424	4.049343	3.969447	6.311117	4.424421	7.276702	4.4927	3.392703	4.824427	4.049793	3.862154	5.392981	4.841216	4.387299	4.656089	4.507314	3.659573	4.074387	4.149563	3.929391	4.510998	4.156644	4.291728	5.662816	4.344128	5.267292	6.058874	5.514918	10.29097	3.891566	4.173848	7.04994	3.822639	4.842677	6.988156	3.937518	6.859334	3.640266	4.353503	7.013592	6.708407	3.972755	5.092937	4.738508	4.271188
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.10154	3.460703	4.627505	9.269867	3.79963	5.411722	5.22233	9.397827	5.84565	4.309616	4.027229	6.238162	4.719404	6.114979	4.90387	3.867101	4.644171	4.109259	4.35242	4.101882	5.045346	4.56999	3.913027	3.791813	3.57682	4.290223	4.257286	3.785793	4.723781	4.399734	4.476792	5.313711	3.608453	4.511177	6.678315	6.421583	8.96149	3.981858	3.864428	3.457132	3.736818	6.871153	5.206478	4.053805	3.807998	3.776287	4.290739	7.969064	4.053015	4.051122	4.604644	3.974147	3.782313
HUPT4_PANCREAS	4.035001	3.756683	6.221575	8.355427	3.784876	5.712893	5.133044	4.556985	5.451349	3.808251	4.277097	6.073636	4.310309	5.580478	4.065455	3.545441	4.465066	4.015595	3.926562	7.586302	5.033533	7.220588	4.340812	4.7645	3.724025	4.018848	3.724661	3.587351	5.020999	3.785402	4.320177	4.467808	3.809398	5.191059	5.90422	6.938789	9.954246	3.672697	3.957302	3.579313	3.522915	5.826932	5.84128	4.278819	3.87393	4.442079	4.688414	7.561629	5.167556	3.924093	4.650817	4.279658	3.444236
MOGGCCM_CENTRAL_NERVOUS_SYSTEM	4.623125	3.541314	6.219127	6.794285	3.70425	5.101009	5.261117	10.25629	5.518093	3.892237	3.574545	5.902783	4.58224	5.61026	4.310947	3.840387	4.376612	4.018488	4.002598	4.496995	5.042157	4.720245	4.256604	3.860002	3.709216	4.132459	3.952478	3.670428	4.428819	4.423607	4.495567	5.24869	7.475034	3.99586	5.921013	5.460109	9.833419	3.982249	4.212505	3.401906	3.550165	6.191597	4.207571	4.519191	4.480355	3.726773	4.798013	6.504305	3.714924	4.048193	4.422193	3.930654	3.703795
KYSE30_OESOPHAGUS	4.140609	4.094188	6.111444	9.058007	3.544168	6.117817	5.077377	10.27542	5.156471	3.908949	3.883467	6.15113	4.503631	5.766795	4.470799	3.620838	4.928663	4.086042	5.251589	7.3314	5.059204	4.514134	4.18092	5.447543	3.630402	4.187167	3.736569	3.754232	4.696497	4.087804	4.344145	5.591041	3.958889	4.357624	5.792439	5.20161	8.174821	4.277815	4.527951	3.618826	4.088825	5.304045	8.166	4.161529	6.350909	3.845766	4.466439	6.617475	6.878746	4.044748	7.805938	5.297	4.22869
KYSE150_OESOPHAGUS	3.844033	3.813332	4.641148	4.101038	3.879238	7.701116	5.227452	6.09435	5.527991	3.815052	3.846019	5.748085	4.377085	5.947878	4.338334	3.478178	4.834866	4.015564	4.100859	3.919276	5.05571	4.423838	4.228082	4.094516	3.863209	4.174656	3.986697	3.689469	4.639764	4.318979	4.412179	5.071278	4.268871	4.339536	5.985637	5.706128	11.42247	4.464856	3.660091	3.343368	3.555869	5.115101	6.477142	4.442327	3.999907	3.794546	4.53003	7.067712	5.50308	4.097421	4.743508	4.428292	3.871376
PSN1_PANCREAS	4.050399	3.717167	5.124983	7.885938	3.459331	5.975951	4.929652	7.850011	5.438961	3.77898	3.905858	5.81437	4.080733	5.625192	4.515567	3.237364	4.419658	3.838495	3.960461	4.11764	5.056277	5.558374	4.171597	3.820262	3.350171	4.097861	7.8059	3.626271	4.439982	3.901451	4.955693	4.685982	3.290507	4.163026	5.871112	6.140946	9.400534	4.047224	3.925249	3.487838	5.15593	6.301496	9.554239	4.686795	4.335947	3.502852	5.733673	8.07051	3.574229	4.150039	4.067088	4.20017	3.64843
NCIH1299_LUNG	4.366561	3.709706	6.648167	7.449237	3.852375	5.104763	5.502883	6.501352	5.528995	3.502324	3.73571	6.224679	4.388692	5.562965	5.459332	3.542596	4.915529	4.196532	4.001921	4.899828	5.054806	4.459329	5.028888	3.816329	3.67686	4.125686	3.607474	3.810478	5.124609	3.965492	4.138531	4.432842	3.56278	4.420518	6.05799	5.255709	9.324933	4.202756	3.749774	3.333431	3.308515	5.542673	4.158211	6.084481	4.252448	4.018375	4.126004	7.914118	3.839647	3.944495	4.80104	4.307573	3.71755
PATU8988T_PANCREAS	4.334288	3.789773	6.857766	7.740428	3.932363	4.975426	5.07275	5.53145	5.188648	3.626733	3.955211	5.820332	4.186815	5.279874	4.816951	3.439446	4.831947	4.000513	3.965326	4.816951	4.836682	4.410311	4.536317	3.711041	3.57612	4.188355	4.308089	3.623111	4.887576	3.834852	4.29543	4.971367	9.897574	4.527026	5.491963	5.688433	10.58971	4.507616	3.701241	3.308772	3.58569	6.511534	4.706802	4.737495	4.087269	3.672893	4.931041	8.939477	3.817909	4.175539	4.45731	4.17607	5.012582
IGR37_SKIN	4.3322	3.721059	7.731816	7.696959	3.860303	6.305757	4.98113	3.791154	5.505177	3.601169	3.606879	5.677693	4.079959	5.279812	4.621412	3.31117	4.552038	3.806889	4.001928	4.288291	4.886764	4.587895	4.155403	3.613211	3.610522	4.113201	4.083661	3.66532	4.765393	4.100766	4.262309	5.066344	3.601169	4.320025	9.474085	5.735717	9.744512	3.776485	3.899087	3.210239	3.646135	7.57628	4.173348	3.571453	4.374271	3.889646	4.14866	7.821892	3.460876	4.040035	4.33225	4.091665	5.737145
PANC0403_PANCREAS	4.214303	3.851216	6.229228	8.540263	3.717352	7.490207	5.296088	4.950732	5.808353	4.005399	3.818955	6.073064	4.343807	5.554803	4.416126	3.61264	4.737697	3.952227	4.2911	5.3469	5.095588	5.97078	5.056997	3.735374	3.478178	4.024893	4.287196	3.982866	4.735293	4.071319	4.320201	4.851679	9.248743	4.386715	5.775761	6.539108	9.751052	4.169927	3.885102	3.42577	3.400393	5.905491	5.747466	3.938104	4.23973	3.79636	4.61809	6.98204	7.36741	4.149421	5.256289	4.847838	3.736744
TYKNU_OVARY	4.485829	3.878012	5.186075	8.198831	3.901034	6.273861	5.26559	3.978874	5.706208	3.61513	4.063881	5.809701	4.388241	6.065945	4.920656	4.004639	4.682167	3.958718	3.99188	6.740159	5.043653	4.778251	5.255946	3.729289	3.649839	4.355341	4.222693	3.621347	4.97266	4.295864	4.435298	5.516519	3.827636	4.525374	5.677755	5.829819	9.486158	4.258184	3.595516	3.41958	3.515914	6.299881	4.293692	3.823562	4.160263	4.047714	4.356737	9.239937	3.70755	4.128806	4.275626	4.373603	3.61513
OVISE_OVARY	4.435615	3.927626	6.12618	7.953016	3.801146	6.95609	5.638062	6.157855	5.763333	4.244352	3.658666	6.109335	4.68082	6.257613	4.297417	3.733587	5.470045	5.32928	4.8316	6.680152	5.052626	4.390656	6.388844	4.275157	3.562095	4.214707	4.029947	3.895422	4.696985	3.980182	4.229144	4.962357	3.659424	7.585006	6.777791	5.503815	9.337669	4.028249	3.866596	5.208411	3.567514	6.493919	5.349577	4.139303	6.30847	3.788671	4.727046	6.643871	6.613292	3.76897	4.338045	4.094165	4.003917
EFM19_BREAST	4.15889	3.920197	6.280126	7.110529	3.946581	6.016545	5.278187	9.418551	5.79	3.559848	3.757445	5.93053	4.628751	9.025129	4.438055	3.845542	4.659717	3.928636	3.951068	4.645321	5.186073	4.695779	4.699697	6.210711	3.553786	4.265014	3.947924	3.848587	4.373258	4.264137	4.396199	5.025193	3.476104	5.03485	6.172596	5.568233	8.797099	5.355853	4.170629	3.705964	3.824933	4.587634	4.977944	3.643486	3.956988	3.859771	5.268777	6.876357	3.824017	4.220916	4.507691	4.426024	3.792324
MELHO_SKIN	4.348808	3.797708	8.401111	8.470648	3.762319	7.558084	5.433952	4.130385	5.59682	3.392702	3.873754	5.742972	4.292173	5.676372	4.705218	3.388927	4.854785	3.923162	4.003896	4.498871	5.143529	4.812675	4.717074	3.721745	3.731541	4.607289	4.298807	3.798759	4.457505	4.304754	4.166828	5.16025	3.429191	4.231445	9.579367	5.581934	10.59501	4.103315	3.431189	3.518454	3.574989	7.863395	4.453154	3.566779	4.532748	3.710009	4.511235	7.178284	3.581702	3.986654	4.208474	4.205183	5.049087
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.337958	3.747523	6.975463	3.878121	3.992381	5.776808	5.606036	4.086104	5.901335	4.059799	4.131893	5.902795	4.609375	6.329443	4.901492	3.475738	5.073813	4.198849	4.420462	4.360418	5.093519	4.833019	5.037397	3.963359	3.733831	4.502994	4.000803	3.844619	4.965195	4.411013	4.327244	5.235815	3.626584	4.186426	6.278626	6.098705	9.902671	4.396819	4.118291	3.658141	3.575676	5.309027	4.243084	3.696029	7.331438	3.937767	4.432267	6.041803	3.714251	4.192345	4.657913	4.343271	3.678894
G361_SKIN	3.76158	3.764137	7.827485	7.993651	3.85877	7.078074	5.144756	3.95527	4.994937	3.860026	3.712335	5.988435	4.192459	5.262705	5.067205	3.680064	4.616552	3.927446	3.765823	6.12591	4.64977	4.592213	4.388731	3.83629	3.764524	4.236622	3.664631	3.673619	4.670782	4.263699	4.149193	5.286383	3.376167	4.382054	7.240565	5.059985	10.91888	3.930201	3.521883	3.328198	3.33988	5.618985	4.191351	3.614801	3.900426	3.959078	4.614066	7.035044	3.439228	3.890349	4.414852	4.048555	3.719523
NCIH647_LUNG	4.095888	4.002473	6.560454	8.681092	3.745871	5.026369	5.092325	10.17509	5.646746	3.635579	3.951681	6.077144	4.548454	6.402949	4.727586	3.710707	4.590926	3.87616	3.946983	5.604594	4.886758	4.457972	4.78144	3.736613	3.575462	4.224107	3.915987	3.77281	4.582809	4.046384	4.417597	4.282613	7.650135	4.080797	6.4976	5.643803	8.665461	4.010741	3.745405	4.1099	3.8568	6.071898	4.860946	3.756962	6.775039	3.787659	4.341758	7.948972	7.713102	3.950594	4.692799	5.328327	3.696271
GMS10_CENTRAL_NERVOUS_SYSTEM	3.943715	3.411718	7.192379	8.399294	3.65132	6.723572	4.891388	8.702688	5.455645	3.741379	3.804818	5.845956	4.423058	5.619439	4.608265	3.498453	4.468671	3.72763	3.882367	3.895279	4.672847	4.443329	4.895244	3.882119	3.712227	3.869124	3.818056	3.409329	4.231428	3.988888	4.503397	4.330491	7.290819	4.084046	6.56946	5.685939	8.629692	4.071678	3.689918	3.339378	3.56005	4.9039	3.606293	4.033095	4.535805	3.682246	4.621459	6.72229	4.094922	3.993201	4.403104	4.286802	3.92858
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.110845	3.749392	6.991487	9.437663	3.596016	6.764366	5.035396	4.171047	5.518971	3.718103	3.909719	5.684835	4.748497	5.87644	4.566813	3.996691	4.919559	3.919172	5.003748	4.583192	5.113996	4.767097	4.90252	3.918488	3.660381	4.489331	3.923322	3.667655	4.637822	4.111965	4.040081	4.949687	3.600137	4.228147	6.055842	5.962213	10.32085	4.303109	3.789016	3.429948	3.515414	6.922487	4.091216	4.069034	3.550622	3.982782	4.396378	8.092902	3.663574	4.085474	4.258525	3.966337	3.894158
HLFA_LUNG	3.820814	3.503602	7.58956	6.02128	3.57915	4.97275	5.192237	7.326222	5.328931	4.225063	4.021879	5.903511	4.214396	5.560494	4.787975	3.702188	4.96913	3.99813	4.11208	3.977426	4.831587	4.901264	3.682597	3.555746	3.422556	4.19351	3.668973	3.637604	4.662262	4.188891	4.279586	4.261149	3.325729	4.205456	6.830514	5.4348	9.2177	3.833692	3.65411	3.264937	3.575831	6.754809	5.435165	3.708176	3.982956	3.635911	4.68834	7.573365	3.761436	3.795835	4.260967	3.916934	3.527766
X42MGBA_CENTRAL_NERVOUS_SYSTEM	3.987253	3.498535	5.851721	7.762705	3.752448	5.638329	5.263056	8.530214	5.361058	3.764955	3.978446	6.039444	4.526043	5.618302	4.508107	3.66113	5.025157	4.020267	3.84147	6.986901	4.820757	4.409048	5.137549	3.898331	3.537585	4.130976	4.06328	3.566575	4.508339	3.801679	4.350042	4.859245	3.606346	4.64719	5.450551	7.56189	10.08431	4.400246	3.931161	3.367788	3.497451	4.611447	3.932574	6.43208	3.83215	3.678818	5.706518	8.559656	3.537443	4.214267	4.268789	3.991836	3.79167
KCIMOH1_PANCREAS	4.702045	3.896665	5.63392	7.249103	3.884153	4.801747	5.528601	9.120692	5.790188	3.520903	3.867118	5.742929	4.473281	5.794955	4.445358	3.479972	4.126962	3.93881	4.29121	4.75954	4.99116	7.675304	4.646371	3.959072	3.725493	3.935012	4.326476	3.93157	4.581429	4.266578	4.35762	5.364948	6.642419	4.626735	5.932406	5.670765	10.11513	4.321552	3.990221	3.853415	3.972253	6.213476	10.38607	5.988102	5.860219	3.70259	5.400791	7.716853	5.426084	4.18664	6.226993	4.605433	3.906215
HCC44_LUNG	4.659737	4.134777	5.022864	8.466398	4.218936	5.783721	5.744669	11.11195	6.097021	4.36017	3.593342	6.696316	4.389262	5.518166	4.3959	3.566438	4.456093	4.075104	4.024835	3.945063	5.251005	4.464889	5.378136	3.718555	3.395332	4.389626	4.34889	3.846489	5.482159	4.462931	4.254958	4.758175	5.428076	4.218561	5.682739	6.179338	9.136149	3.980409	3.806356	3.454132	3.560642	5.025449	4.829705	3.972866	4.549922	4.4021	5.793278	7.090775	5.42154	3.831915	4.941302	4.241497	3.727778
KYSE70_OESOPHAGUS	4.771066	3.928464	6.243688	9.463648	3.830619	8.451021	5.123388	7.892843	5.609475	4.200916	3.855065	6.002436	4.221304	5.549243	4.681746	3.730089	4.629624	4.010171	4.320711	4.008912	5.189089	4.67539	6.086448	4.430381	3.648689	4.198166	3.982396	3.886928	4.976466	4.047006	4.2276	4.942407	3.403938	9.433599	5.638222	6.789364	9.713952	3.849595	3.615754	7.90794	4.129594	6.85051	8.18531	3.800421	3.758852	4.021573	4.440794	7.770786	9.358222	4.019516	5.918802	6.551216	3.5838
X1321N1_CENTRAL_NERVOUS_SYSTEM	4.192618	3.780464	5.367683	8.234258	3.658451	5.109998	5.158609	4.008214	5.651315	3.736564	3.836676	5.746102	4.198134	5.632671	4.469005	3.639663	4.510473	3.931479	4.000654	6.403511	4.895773	4.770052	4.224915	3.793134	3.415364	4.194437	4.100948	3.729252	4.084605	3.916847	3.899689	4.954703	3.868154	4.450179	5.598964	6.060117	7.342898	3.932601	3.724517	3.459103	3.570045	6.052926	4.064051	5.256086	3.947954	3.868491	4.737753	7.862864	3.395976	3.82514	4.296508	4.090494	3.618484
GAMG_CENTRAL_NERVOUS_SYSTEM	4.306177	3.766777	6.42524	8.421501	3.511564	7.16755	5.173696	7.078937	5.380013	3.82678	3.89944	5.450226	4.286877	5.514492	4.367259	3.342307	4.238985	3.872705	3.88549	4.468207	4.9746	4.483806	4.323074	3.7269	3.460567	3.984227	3.784543	3.716388	4.111592	4.211619	4.132133	4.660108	4.061117	4.110273	5.404987	5.414087	10.60726	3.925498	3.537193	3.480815	3.426141	7.286394	4.437953	4.782551	3.771468	3.603554	4.499323	8.00444	5.282739	3.9213	4.370886	3.976439	3.753846
NCIH522_LUNG	4.397686	3.682967	6.910436	9.375076	4.081382	4.776275	5.13335	9.142744	5.639375	3.903213	4.041511	5.955204	4.169519	5.618776	4.764361	4.018421	4.539149	3.954618	3.897296	3.814105	5.12225	4.530234	4.56284	3.884762	3.886411	4.129767	3.817622	3.751918	4.399952	3.847586	3.85051	4.798893	3.869174	10.59526	5.703317	5.646013	9.217476	3.784303	3.874252	3.433533	3.904236	4.575537	4.685667	6.953617	3.969042	3.721615	4.339233	8.060644	3.705372	3.831217	4.380477	4.296532	3.629659
EN_ENDOMETRIUM	4.626861	3.824831	6.697944	8.583379	3.824235	5.858813	5.337411	5.316851	5.573513	3.712735	3.699168	6.032317	4.097506	5.75538	4.864491	3.452191	4.690055	4.5454	4.110354	3.997943	5.004957	4.660605	4.115382	3.957321	3.512632	4.178204	3.930087	3.741831	4.811381	4.127329	4.380903	5.089414	3.874175	5.16406	5.66722	6.081585	8.17119	4.118924	3.563631	3.979654	3.407332	5.190818	5.260156	4.002774	4.279326	3.907039	5.040348	7.49541	4.839832	4.024894	4.457109	4.322554	3.595541
PK59_PANCREAS	4.355257	3.723669	5.941758	8.976904	3.7914	8.141924	5.272894	7.694974	5.804384	4.230429	3.90082	6.013413	4.357034	5.825508	4.409573	4.971462	4.57381	3.980161	4.237428	6.118777	4.972039	6.650658	4.829991	4.199576	3.434715	4.351782	3.880002	3.834321	4.486709	3.996438	4.274545	4.556267	3.660928	9.010566	5.876855	5.970762	9.678465	3.891448	3.747601	3.561557	3.915443	6.472058	8.708633	5.245242	4.00879	3.896722	5.58361	8.06352	4.470722	3.805733	5.081905	4.381722	3.612281
SNB19_CENTRAL_NERVOUS_SYSTEM	5.263177	3.780582	7.602045	6.525403	3.595788	5.033692	5.200602	4.808106	5.616038	3.608459	3.884196	5.516398	4.41357	5.431611	4.393584	5.87635	4.57914	3.88473	4.255142	5.217936	4.820635	4.443136	4.318063	3.784677	3.711627	3.972386	3.943282	3.650516	4.466854	4.0018	4.223793	5.188265	3.876772	4.673959	7.233212	5.724752	10.07945	3.785196	3.703419	3.371403	3.507013	6.060159	4.175665	3.824059	4.247577	3.676504	4.681183	7.903714	3.717674	4.135602	4.693374	4.075742	3.709583
COLO741_SKIN	4.023187	3.857634	7.755232	8.175605	3.843129	6.021925	5.216846	3.971996	5.744498	3.201762	3.902381	5.743787	4.249554	5.725053	4.711221	3.789373	4.784366	3.957807	3.924282	6.543249	4.973489	4.715636	4.43167	3.977527	3.367082	4.055332	3.759729	3.78358	4.784672	4.078835	4.225148	4.732957	3.563253	4.43124	8.265177	5.812761	9.423781	3.937632	3.67031	3.41764	3.440543	6.282542	4.226754	3.827292	5.287211	3.638144	4.831293	6.545918	3.496443	3.896697	4.545413	4.237451	3.904102
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.439784	3.850817	5.729242	8.525573	3.51318	5.136699	4.866976	7.769748	5.142046	4.245088	3.802575	5.596789	4.373779	5.736512	5.725438	3.812495	4.623768	4.088724	4.043713	3.941272	4.921867	4.439023	6.146128	3.880625	3.317537	3.912317	3.945154	3.69446	4.477076	4.065987	4.179548	4.713128	3.587921	4.060107	6.060875	5.233607	9.836481	3.876844	3.782321	3.336895	3.513573	5.328332	3.977994	3.924515	3.62791	3.646979	4.17355	8.065602	3.549645	4.029358	4.215263	4.26808	3.534622
NCIH661_LUNG	4.732781	3.595473	6.164771	7.625068	3.859283	5.164287	4.85641	4.200761	5.259852	3.770009	3.916669	5.469474	4.27307	5.750822	4.389909	3.551466	4.957328	3.893373	6.368969	4.33643	5.041718	4.329781	4.246129	3.84406	3.395207	3.795016	3.77343	3.61199	4.689828	4.062825	4.17876	5.229347	3.511446	10.27985	5.754878	5.586966	10.11811	3.841082	3.817583	3.470511	3.565399	7.160894	4.57927	4.278329	3.81905	3.625107	5.195633	9.575687	3.340612	3.903904	4.327669	4.523718	3.624085
LNCAPCLONEFGC_PROSTATE	4.486345	3.735312	7.627845	9.51824	3.721916	4.861115	5.150557	4.143653	5.442558	3.694575	4.09025	5.731535	4.269624	5.503553	5.33786	3.467157	8.03381	3.947979	4.423386	6.10735	5.003565	4.664372	4.24428	3.721072	3.42536	4.171622	4.298509	3.613159	4.736063	3.705242	4.135988	5.029716	3.596852	4.31331	5.543433	5.339684	9.598708	4.120855	3.849823	3.493276	3.843185	7.83548	3.931988	3.613155	5.450789	3.702361	4.394115	7.101724	4.974729	4.088386	4.496784	4.184673	3.668107
LS411N_LARGE_INTESTINE	4.278161	3.721115	5.353789	8.930152	3.965667	6.381428	5.060684	5.162354	5.241556	3.501777	3.855592	5.776786	5.319271	5.32002	4.453937	3.391417	4.74566	4.553755	4.231988	7.465492	5.092715	7.217671	4.165075	4.39549	3.372669	3.988629	3.934066	3.742338	4.698309	3.850365	4.20047	4.985758	3.554915	4.666265	5.987666	5.671639	10.24362	3.752649	3.412966	5.370789	3.598194	8.040533	8.087763	3.613124	4.450851	3.897506	4.815306	8.321702	3.890349	4.247449	5.248248	5.511074	3.508142
