Gene	SecondarySource	PrimarySource
MAP4	DrugBank	
FMO3	DrugBank	
DHFR	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
HNF4A	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
OR1N1	DGI_druggable	dGene RussLampel HopkinsGroom
BAX	DGI_druggable	RussLampel HopkinsGroom
PLCG2	DGI_druggable	RussLampel HopkinsGroom
PLCG1	DGI_druggable	RussLampel HopkinsGroom
IARS	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
BHMT2	DrugBank	
MLKL	KinasesCuratedByOlenaSofie;DGI_druggable	;dGene RussLampel HopkinsGroom
PRPSAP1	DGI_druggable	RussLampel
GIPR	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
LARS2	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
TNFSF14	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
OR8A1	DGI_druggable	dGene RussLampel HopkinsGroom
SLC37A2	DGI_druggable	RussLampel
OR52L1	DGI_druggable	dGene RussLampel HopkinsGroom
CDK18	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
CDK19	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
PMPCB	DGI_druggable	dGene RussLampel HopkinsGroom
PMPCA	DGI_druggable	dGene RussLampel HopkinsGroom
CDK12	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
CDK13	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
CDK10	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
FOLR1	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CDK16	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
CDK17	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
CDK14	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
CDK15	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
GPR126	DGI_druggable	dGene RussLampel HopkinsGroom
GPR124	DGI_druggable	dGene RussLampel HopkinsGroom
GPR125	DGI_druggable;DGI_membrane	dGene RussLampel HopkinsGroom;GO
GPR123	DGI_druggable	dGene RussLampel HopkinsGroom
FPR1	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
PSMC1	DGI_druggable	dGene
PSMC2	DGI_druggable	dGene
PSMC5	DGI_druggable	dGene
GPR128	DGI_druggable	dGene RussLampel HopkinsGroom
OR4M2	DGI_druggable	dGene RussLampel HopkinsGroom
FPR3	DGI_druggable	dGene RussLampel HopkinsGroom
SPOCK2	DGI_druggable	dGene
GLUD2	DrugBank	
KCNAB1	DGI_druggable	RussLampel HopkinsGroom
NLGN4Y	DGI_druggable;DGI_membrane	RussLampel HopkinsGroom;GO
PRSS12	DGI_druggable	dGene RussLampel HopkinsGroom
CLPS	DrugBank	
SLC22A17	DGI_druggable	RussLampel
PRSS16	DGI_druggable	dGene
OR2Z1	DGI_druggable	dGene RussLampel HopkinsGroom
P2RY8	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
MMP28	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
STS	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
P2RY2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
MMP24	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
MMP27	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
P2RY1	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
MMP21	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
MMP20	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
P2RY4	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CPVL	DGI_druggable	dGene
AIFM1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
TEX13A	DGI_druggable	RussLampel HopkinsGroom
RPL15	DrugBank	
KLRK1	DGI_membrane	GO
C3AR1	DGI_druggable	dGene RussLampel HopkinsGroom
TET2	Rahul	Prognostic in MDS 
HVCN1	DGI_druggable	HopkinsGroom
BAAT	DrugBank	
IL17RB	DGI_membrane	GO
MAP3K10	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
MAP3K11	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
MAP3K12	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
MAP3K13	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
MAP3K14	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
MAP3K15	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
TPSD1	DGI_druggable	dGene RussLampel HopkinsGroom
SLC1A4	DrugBank	
MAP3K19	KinasesCuratedByOlenaSofie;KinasesWitteLab	;
CYP11B1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SLC1A7	DrugBank	
FUCA1	DGI_druggable	RussLampel HopkinsGroom
FUCA2	DGI_druggable	RussLampel HopkinsGroom
SLC1A3	DGI_membrane;DrugBank	GO;
SFTPD	DrugBank	
TGM1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
TGM2	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;
TGM3	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
TGM4	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
IMMP2L	DGI_druggable	dGene
TGM6	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
STYK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
IDI1	DrugBank	
SPTB	DGI_membrane	GO
OR2D2	DGI_druggable	dGene RussLampel HopkinsGroom
OR2D3	DGI_druggable	dGene RussLampel HopkinsGroom
IMPDH1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
IKBKB	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
GAMT	DrugBank	
SGSH	DGI_druggable	RussLampel HopkinsGroom
MMP23B	DGI_druggable	dGene RussLampel
FCGR1A	DrugBank;Computationally obtained list of cell surface genes	;Publication_da_Cunha_etal_PMID_19805368
IKBKE	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;TherapeuticTargetsDatabase	;dGene RussLampel;;
AOX1	DrugBank;TherapeuticTargetsDatabase	;
SLC25A28	DGI_druggable	RussLampel
MICA	DGI_membrane	GO
RARA	DGI_druggable;DGI_membrane;Rahul;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;GO;Transloactions predict sensitivity to ATRA and arsenic;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CXCR3	DGI_druggable;DGI_membrane;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;GO;Publication_da_Cunha_etal_PMID_19805368;
RARB	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
RARG	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
IARS2	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
DHRS7	DGI_druggable	RussLampel HopkinsGroom
DHRS4	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
BTN3A1	DGI_druggable;Computationally obtained list of cell surface genes	HopkinsGroom;Publication_da_Cunha_etal_PMID_19805368
OR5AC2	DGI_druggable	dGene HopkinsGroom
ADRA2A	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ADRA2B	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ADRA2C	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
EPHA7	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
RARS	DGI_druggable	HopkinsGroom
MIPEP	DGI_druggable	dGene RussLampel
GMPR	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
MTMR9	DGI_druggable	dGene
MTMR8	DGI_druggable	dGene
DYRK1A	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
MTMR6	DGI_druggable	dGene
DYRK1B	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
MTMR3	DGI_druggable	dGene
MTMR2	DGI_druggable	dGene HopkinsGroom
MTMR1	DGI_druggable	dGene HopkinsGroom
MAS1L	DGI_druggable	dGene HopkinsGroom
CDKN2B	Rahul	Biallelic inactivation may predict sensitivity to CDK4/6 inhibitors.
WT1	Rahul;TherapeuticTargetsDatabase	May signal the presence of a germline mutation.;
P4HA2	DrugBank	
STAMBP	DGI_druggable	dGene
MC5R	DGI_druggable	dGene RussLampel HopkinsGroom
ANG	DrugBank	
TPO	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SLIT2	DGI_membrane	GO
GNLY	DrugBank	
HLA-DRB1	DGI_membrane;DrugBank	GO;
ITGAX	DGI_druggable;DGI_membrane	RussLampel HopkinsGroom;GO
CRYBB1	DrugBank	
HLA-DRB5	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
IMPA1	DrugBank	
IMPA2	DrugBank	
SRD5A2	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CCRN4L	DGI_druggable	RussLampel
NMT2	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
NMT1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
HRG	DGI_druggable	dGene
SLC4A7	DGI_druggable;DrugBank	RussLampel;
KIAA1161	DGI_druggable	RussLampel HopkinsGroom
MAPK14	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
VAT1	DGI_druggable	RussLampel HopkinsGroom
MTCH2	DGI_druggable	RussLampel
MTCH1	DGI_druggable	RussLampel
OR1S1	DGI_druggable	dGene RussLampel HopkinsGroom
SLC2A7	DGI_druggable	RussLampel
SLC2A6	DGI_druggable	RussLampel
SLC2A5	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	RussLampel;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
OR6T1	DGI_druggable	dGene RussLampel HopkinsGroom
SLC2A3	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	RussLampel;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SLC2A2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SLC2A1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PLA2G2F	DGI_druggable	RussLampel HopkinsGroom
CXCL9	DGI_membrane	GO
CD302	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
RHO	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
TAS1R1	DGI_druggable	dGene HopkinsGroom
TAS1R3	DGI_druggable	dGene RussLampel HopkinsGroom
TAS1R2	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
MEP1A	DGI_druggable	dGene RussLampel HopkinsGroom
MEP1B	DGI_druggable	dGene RussLampel HopkinsGroom
TASP1	DGI_druggable	dGene
OR6F1	DGI_druggable	dGene RussLampel HopkinsGroom
NFATC2	DGI_druggable	RussLampel
NFATC3	DGI_druggable	RussLampel
NFATC4	DGI_druggable	RussLampel
SACS	DGI_druggable	HopkinsGroom
RDX	DrugBank	
DHRS7C	DGI_druggable	RussLampel HopkinsGroom
MAN2B1	DGI_druggable	RussLampel HopkinsGroom
TAS2R20	DGI_druggable	dGene
CCL8	DrugBank	
FUBP1	DrugBank	
MT-ND4L	DrugBank	
MYLK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
GADL1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
BCKDK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
AKR1D1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CD48	DGI_membrane;Computationally obtained list of cell surface genes	GO;Publication_da_Cunha_etal_PMID_19805368
GFER	DrugBank	
MARCO	DGI_druggable	RussLampel HopkinsGroom
TRIM5	DGI_druggable	HopkinsGroom
NNMT	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
HDAC5	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CYP26B1	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SV2B	DGI_druggable	RussLampel
NID1	DrugBank	
CEACAM5	DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
MTTP	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
OR5B3	DGI_druggable	dGene RussLampel HopkinsGroom
OR5B2	DGI_druggable	dGene RussLampel HopkinsGroom
ANGPT1	DGI_druggable;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;
SLC46A2	DGI_druggable;DGI_membrane	RussLampel;GO
OR2AG2	DGI_druggable	dGene RussLampel HopkinsGroom
OR2AG1	DGI_druggable	dGene RussLampel HopkinsGroom
SLC46A1	DGI_druggable;DrugBank	RussLampel;
OR51G2	DGI_druggable	dGene RussLampel HopkinsGroom
COL1A1	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
ABCE1	DGI_druggable	RussLampel
OR51G1	DGI_druggable	dGene RussLampel HopkinsGroom
SSC5D	DGI_druggable	HopkinsGroom
MT-CYB	DrugBank	
DUPD1	DGI_druggable	dGene RussLampel HopkinsGroom
FCER1G	DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CD40	DGI_membrane;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
OR5T1	DGI_druggable	dGene RussLampel HopkinsGroom
OR5T3	DGI_druggable	dGene RussLampel HopkinsGroom
TEK	KinasesCuratedByOlenaSofie;DGI_druggable;DGI_membrane;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;GO;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
SPEG	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
F12	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
FCER1A	DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions	GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
F10	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
F11	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
EXOG	DGI_druggable	RussLampel HopkinsGroom
MB	DrugBank	
LGALS3BP	DGI_druggable	RussLampel HopkinsGroom
TNFRSF1A	DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
SDSL	DrugBank	
TBK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
OR2A12	DGI_druggable	dGene RussLampel
OR2A14	DGI_druggable	dGene RussLampel HopkinsGroom
PC	DrugBank	
CACNB3	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SCN2B	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
GPR98	DGI_druggable;DGI_membrane	dGene HopkinsGroom;GO
GPR97	DGI_druggable	dGene RussLampel HopkinsGroom
GUCA1A	DrugBank	
ALKBH3	DrugBank	
RALA	DGI_membrane;DrugBank	GO;
SEPSECS	DrugBank	
OR10G7	DGI_druggable	dGene RussLampel HopkinsGroom
SERPINA10	DGI_druggable	dGene RussLampel HopkinsGroom
OR10G4	DGI_druggable	dGene HopkinsGroom
OR10G3	DGI_druggable	dGene RussLampel HopkinsGroom
OR10G2	DGI_druggable	dGene RussLampel HopkinsGroom
PSMB11	DGI_druggable	dGene
PSMB10	DGI_druggable	dGene RussLampel
PAOX	DGI_druggable	RussLampel HopkinsGroom
OR4S1	DGI_druggable	dGene RussLampel HopkinsGroom
ATM	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab	;dGene RussLampel HopkinsGroom;Biallelic inactivation may predict sensitivity to PARP inhibitors;
SCYL2	KinasesCuratedByOlenaSofie;DGI_druggable	;dGene RussLampel
SCYL3	KinasesCuratedByOlenaSofie;DGI_druggable	;dGene RussLampel
OR10G9	DGI_druggable	dGene HopkinsGroom
SCYL1	KinasesCuratedByOlenaSofie;DGI_druggable;DrugBank	;dGene;
GPR75	DGI_druggable	dGene RussLampel HopkinsGroom
SMPD4	DrugBank;TherapeuticTargetsDatabase	;
RFPL3	DGI_druggable	HopkinsGroom
RFPL2	DGI_druggable	HopkinsGroom
ADAM32	DGI_druggable	dGene
ADAM33	DGI_druggable	dGene RussLampel
ADAM30	DGI_druggable	dGene RussLampel
PDE12	DGI_druggable	RussLampel
SLC1A2	DrugBank	
FLT4	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
GPR78	DGI_druggable	dGene RussLampel HopkinsGroom
FLT1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
OR4D9	DGI_druggable	dGene RussLampel HopkinsGroom
CD52	DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
PVR	DGI_membrane;DrugBank	GO;
CYP1B1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SKP1	DrugBank	
S1PR3	DGI_druggable	dGene HopkinsGroom
OR4D1	DGI_druggable	dGene HopkinsGroom
OR4D2	DGI_druggable	dGene RussLampel HopkinsGroom
HFE2	DGI_membrane	GO
SLC9B2	DGI_druggable	RussLampel HopkinsGroom
OR4D5	DGI_druggable	dGene RussLampel HopkinsGroom
S1PR5	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
S1PR4	DGI_druggable	dGene RussLampel HopkinsGroom
F2RL3	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SDR9C7	DGI_druggable	RussLampel HopkinsGroom
AAMP	DGI_membrane	GO
PVALB	DrugBank	
DOT1L	TherapeuticTargetsDatabase	
CA5B	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
CA5A	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
HMSD	DGI_druggable	dGene HopkinsGroom
FRK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
CARS	DrugBank	
ARSF	DGI_druggable	RussLampel HopkinsGroom
CLC	DrugBank	
TNNT2	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
NPY2R	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CA8	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
PDE7A	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
MIF	DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
PDF	DrugBank;TherapeuticTargetsDatabase	;
PDC	DrugBank	
TAOK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
TAOK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
TAOK3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
OR1N2	DGI_druggable	dGene RussLampel HopkinsGroom
CNOT6L	DGI_druggable	RussLampel
ALOX5	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
E2F1	TherapeuticTargetsDatabase	
SLC22A18	DGI_druggable	RussLampel
SLC22A16	DGI_druggable;DrugBank	RussLampel;
MAPK9	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
QRFPR	DGI_druggable	dGene RussLampel HopkinsGroom
KNG1	DGI_druggable	dGene
GRIK4	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SLC22A13	DGI_druggable	RussLampel
SLC22A10	DGI_druggable;DrugBank	RussLampel;
SLC22A11	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CDK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene HopkinsGroom;;
CDK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CDK3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CDK4	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Amplification may predict sensitivity to CDK4/6 inhibitors.;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CDK5	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CDK6	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Amplification may predict sensitivity to CDK4/6 inhibitors.;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
